loan_id,rating_date,internal_rating,PD
L000001,2026-07-30,3,1.12
L000002,2026-07-30,7,7.23
L000003,2026-07-30,3,1.12
L000004,2026-07-30,5,3.45
L000005,2026-07-30,7,7.23
L000006,2026-07-30,5,3.45
L000007,2026-07-30,2,0.46
L000008,2026-07-30,10,15.85
L000009,2026-07-30,7,7.23
L000010,2026-07-30,5,3.45
L000011,2026-07-30,3,1.12
L000012,2026-07-30,10,15.85
L000013,2026-07-30,2,0.46
L000014,2026-07-30,1,0.1
L000015,2026-07-30,1,0.1
L000016,2026-07-30,4,2.11
L000017,2026-07-30,8,9.7
L000018,2026-07-30,3,1.12
L000019,2026-07-30,5,3.45
L000020,2026-07-30,4,2.11
L000021,2026-07-30,10,15.85
L000022,2026-07-30,6,5.15
L000023,2026-07-30,3,1.12
L000024,2026-07-30,2,0.46
L000025,2026-07-30,3,1.12
L000026,2026-07-30,10,15.85
L000027,2026-07-30,3,1.12
L000028,2026-07-30,1,0.1
L000029,2026-07-30,5,3.45
L000030,2026-07-30,3,1.12
L000031,2026-07-30,2,0.46
L000032,2026-07-30,3,1.12
L000033,2026-07-30,3,1.12
L000034,2026-07-30,6,5.15
L000035,2026-07-30,10,15.85
L000036,2026-07-30,10,15.85
L000037,2026-07-30,1,0.1
L000038,2026-07-30,3,1.12
L000039,2026-07-30,5,3.45
L000040,2026-07-30,7,7.23
L000041,2026-07-30,8,9.7
L000042,2026-07-30,3,1.12
L000043,2026-07-30,1,0.1
L000044,2026-07-30,3,1.12
L000045,2026-07-30,5,3.45
L000046,2026-07-30,1,0.1
L000047,2026-07-30,3,1.12
L000048,2026-07-30,6,5.15
L000049,2026-07-30,2,0.46
L000050,2026-07-30,2,0.46
L000051,2026-07-30,7,7.23
L000052,2026-07-30,2,0.46
L000053,2026-07-30,6,5.15
L000054,2026-07-30,1,0.1
L000055,2026-07-30,9,12.57
L000056,2026-07-30,7,7.23
L000057,2026-07-30,1,0.1
L000058,2026-07-30,3,1.12
L000059,2026-07-30,3,1.12
L000060,2026-07-30,10,15.85
L000061,2026-07-30,1,0.1
L000062,2026-07-30,3,1.12
L000063,2026-07-30,1,0.1
L000064,2026-07-30,2,0.46
L000065,2026-07-30,3,1.12
L000066,2026-07-30,1,0.1
L000067,2026-07-30,3,1.12
L000068,2026-07-30,3,1.12
L000069,2026-07-30,3,1.12
L000070,2026-07-30,2,0.46
L000071,2026-07-30,1,0.1
L000072,2026-07-30,3,1.12
L000073,2026-07-30,10,15.85
L000074,2026-07-30,2,0.46
L000075,2026-07-30,7,7.23
L000076,2026-07-30,2,0.46
L000077,2026-07-30,4,2.11
L000078,2026-07-30,3,1.12
L000079,2026-07-30,2,0.46
L000080,2026-07-30,7,7.23
L000081,2026-07-30,1,0.1
L000082,2026-07-30,1,0.1
L000083,2026-07-30,10,15.85
L000084,2026-07-30,9,12.57
L000085,2026-07-30,8,9.7
L000086,2026-07-30,6,5.15
L000087,2026-07-30,2,0.46
L000088,2026-07-30,6,5.15
L000089,2026-07-30,2,0.46
L000090,2026-07-30,10,15.85
L000091,2026-07-30,9,12.57
L000092,2026-07-30,3,1.12
L000093,2026-07-30,7,7.23
L000094,2026-07-30,3,1.12
L000095,2026-07-30,2,0.46
L000096,2026-07-30,2,0.46
L000097,2026-07-30,3,1.12
L000098,2026-07-30,2,0.46
L000099,2026-07-30,2,0.46
L000100,2026-07-30,5,3.45
L000101,2026-07-30,2,0.46
L000102,2026-07-30,8,9.7
L000103,2026-07-30,10,15.85
L000104,2026-07-30,2,0.46
L000105,2026-07-30,1,0.1
L000106,2026-07-30,1,0.1
L000107,2026-07-30,2,0.46
L000108,2026-07-30,2,0.46
L000109,2026-07-30,3,1.12
L000110,2026-07-30,10,15.85
L000111,2026-07-30,4,2.11
L000112,2026-07-30,6,5.15
L000113,2026-07-30,8,9.7
L000114,2026-07-30,5,3.45
L000115,2026-07-30,4,2.11
L000116,2026-07-30,4,2.11
L000117,2026-07-30,9,12.57
L000118,2026-07-30,6,5.15
L000119,2026-07-30,1,0.1
L000120,2026-07-30,6,5.15
L000121,2026-07-30,2,0.46
L000122,2026-07-30,2,0.46
L000123,2026-07-30,5,3.45
L000124,2026-07-30,3,1.12
L000125,2026-07-30,10,15.85
L000126,2026-07-30,7,7.23
L000127,2026-07-30,1,0.1
L000128,2026-07-30,3,1.12
L000129,2026-07-30,8,9.7
L000130,2026-07-30,3,1.12
L000131,2026-07-30,2,0.46
L000132,2026-07-30,7,7.23
L000133,2026-07-30,5,3.45
L000134,2026-07-30,3,1.12
L000135,2026-07-30,1,0.1
L000136,2026-07-30,2,0.46
L000137,2026-07-30,2,0.46
L000138,2026-07-30,2,0.46
L000139,2026-07-30,2,0.46
L000140,2026-07-30,10,15.85
L000141,2026-07-30,3,1.12
L000142,2026-07-30,5,3.45
L000143,2026-07-30,3,1.12
L000144,2026-07-30,1,0.1
L000145,2026-07-30,6,5.15
L000146,2026-07-30,8,9.7
L000147,2026-07-30,3,1.12
L000148,2026-07-30,2,0.46
L000149,2026-07-30,2,0.46
L000150,2026-07-30,1,0.1
L000151,2026-07-30,3,1.12
L000152,2026-07-30,2,0.46
L000153,2026-07-30,7,7.23
L000154,2026-07-30,2,0.46
L000155,2026-07-30,4,2.11
L000156,2026-07-30,7,7.23
L000157,2026-07-30,7,7.23
L000158,2026-07-30,3,1.12
L000159,2026-07-30,8,9.7
L000160,2026-07-30,1,0.1
L000161,2026-07-30,5,3.45
L000162,2026-07-30,1,0.1
L000163,2026-07-30,3,1.12
L000164,2026-07-30,4,2.11
L000165,2026-07-30,1,0.1
L000166,2026-07-30,3,1.12
L000167,2026-07-30,3,1.12
L000168,2026-07-30,2,0.46
L000169,2026-07-30,2,0.46
L000170,2026-07-30,8,9.7
L000171,2026-07-30,1,0.1
L000172,2026-07-30,4,2.11
L000173,2026-07-30,1,0.1
L000174,2026-07-30,1,0.1
L000175,2026-07-30,6,5.15
L000176,2026-07-30,1,0.1
L000177,2026-07-30,3,1.12
L000178,2026-07-30,9,12.57
L000179,2026-07-30,5,3.45
L000180,2026-07-30,1,0.1
L000181,2026-07-30,3,1.12
L000182,2026-07-30,2,0.46
L000183,2026-07-30,7,7.23
L000184,2026-07-30,1,0.1
L000185,2026-07-30,2,0.46
L000186,2026-07-30,2,0.46
L000187,2026-07-30,1,0.1
L000188,2026-07-30,2,0.46
L000189,2026-07-30,1,0.1
L000190,2026-07-30,6,5.15
L000191,2026-07-30,3,1.12
L000192,2026-07-30,3,1.12
L000193,2026-07-30,2,0.46
L000194,2026-07-30,2,0.46
L000195,2026-07-30,2,0.46
L000196,2026-07-30,8,9.7
L000197,2026-07-30,6,5.15
L000198,2026-07-30,2,0.46
L000199,2026-07-30,2,0.46
L000200,2026-07-30,3,1.12
L000201,2026-07-30,9,12.57
L000202,2026-07-30,10,15.85
L000203,2026-07-30,3,1.12
L000204,2026-07-30,5,3.45
L000205,2026-07-30,4,2.11
L000206,2026-07-30,2,0.46
L000207,2026-07-30,3,1.12
L000208,2026-07-30,2,0.46
L000209,2026-07-30,3,1.12
L000210,2026-07-30,2,0.46
L000211,2026-07-30,2,0.46
L000212,2026-07-30,6,5.15
L000213,2026-07-30,1,0.1
L000214,2026-07-30,3,1.12
L000215,2026-07-30,3,1.12
L000216,2026-07-30,5,3.45
L000217,2026-07-30,1,0.1
L000218,2026-07-30,1,0.1
L000219,2026-07-30,1,0.1
L000220,2026-07-30,2,0.46
L000221,2026-07-30,4,2.11
L000222,2026-07-30,8,9.7
L000223,2026-07-30,4,2.11
L000224,2026-07-30,2,0.46
L000225,2026-07-30,2,0.46
L000226,2026-07-30,9,12.57
L000227,2026-07-30,1,0.1
L000228,2026-07-30,7,7.23
L000229,2026-07-30,2,0.46
L000230,2026-07-30,6,5.15
L000231,2026-07-30,3,1.12
L000232,2026-07-30,3,1.12
L000233,2026-07-30,6,5.15
L000234,2026-07-30,5,3.45
L000235,2026-07-30,10,15.85
L000236,2026-07-30,3,1.12
L000237,2026-07-30,3,1.12
L000238,2026-07-30,7,7.23
L000239,2026-07-30,7,7.23
L000240,2026-07-30,2,0.46
L000241,2026-07-30,9,12.57
L000242,2026-07-30,6,5.15
L000243,2026-07-30,3,1.12
L000244,2026-07-30,9,12.57
L000245,2026-07-30,2,0.46
L000246,2026-07-30,2,0.46
L000247,2026-07-30,3,1.12
L000248,2026-07-30,10,15.85
L000249,2026-07-30,3,1.12
L000250,2026-07-30,3,1.12
L000251,2026-07-30,3,1.12
L000252,2026-07-30,8,9.7
L000253,2026-07-30,6,5.15
L000254,2026-07-30,3,1.12
L000255,2026-07-30,1,0.1
L000256,2026-07-30,3,1.12
L000257,2026-07-30,9,12.57
L000258,2026-07-30,9,12.57
L000259,2026-07-30,2,0.46
L000260,2026-07-30,1,0.1
L000261,2026-07-30,3,1.12
L000262,2026-07-30,3,1.12
L000263,2026-07-30,2,0.46
L000264,2026-07-30,4,2.11
L000265,2026-07-30,7,7.23
L000266,2026-07-30,10,15.85
L000267,2026-07-30,4,2.11
L000268,2026-07-30,1,0.1
L000269,2026-07-30,4,2.11
L000270,2026-07-30,1,0.1
L000271,2026-07-30,1,0.1
L000272,2026-07-30,1,0.1
L000273,2026-07-30,3,1.12
L000274,2026-07-30,5,3.45
L000275,2026-07-30,1,0.1
L000276,2026-07-30,5,3.45
L000277,2026-07-30,1,0.1
L000278,2026-07-30,1,0.1
L000279,2026-07-30,1,0.1
L000280,2026-07-30,4,2.11
L000281,2026-07-30,3,1.12
L000282,2026-07-30,2,0.46
L000283,2026-07-30,10,15.85
L000284,2026-07-30,3,1.12
L000285,2026-07-30,1,0.1
L000286,2026-07-30,8,9.7
