loan_id,customer_id,loan_type,sanction_amount,disbursed_amount,interest_rate,tenure_months,disbursement_date,sector,branch_id,region
L000001,C017837,Home,12064300,11405364.81,8.56,360,2021-11-26,Real Estate,B006,West
L000002,C010025,Personal,680905,653924.15,11.33,24,2022-04-01,Services,B008,South
L000003,C008670,Home,17713005,17410451.33,9.9,120,2025-02-17,Real Estate,B001,West
L000004,C012299,Education,4271804,4205400.11,12.58,60,2023-12-21,Services,B007,East
L000005,C014699,Agri,4182532,4036187.82,10.86,36,2023-02-24,Agriculture,B008,South
L000006,C015778,Auto,681483,667384.76,10.91,84,2024-11-12,Services,B001,West
L000007,C005726,Auto,1189087,1183000.33,10.34,36,2023-05-01,Services,B009,North
L000008,C010034,Personal,455669,414326.23,15.19,36,2024-08-10,Services,B008,South
L000009,C017519,Auto,596710,539539.69,10.2,48,2025-07-23,Services,B008,South
L000010,C012185,MSME,5752654,5438213.48,10.05,120,2025-02-01,Services,B004,South
L000011,C000105,Home,13818834,12464411.15,8.26,240,2026-06-16,Real Estate,B001,West
L000012,C002619,Home,3029340,3005311.77,8.76,180,2023-09-18,Real Estate,B009,North
L000013,C003555,Home,2508039,2357496.31,8.67,240,2024-09-14,Real Estate,B010,North
L000014,C005066,Home,18985973,17723693.76,8.05,120,2023-11-29,Real Estate,B007,East
L000015,C009166,Home,3083067,2904601.8,10.11,180,2026-04-06,Real Estate,B004,South
L000016,C003620,Home,2223691,2102908.37,10.47,240,2022-05-11,Real Estate,B003,North
L000017,C002312,Auto,2663590,2499690.6,10.39,36,2025-05-06,Services,B008,South
L000018,C014716,Personal,197617,185294.29,11.7,48,2025-08-24,Services,B001,West
L000019,C000469,MSME,30149802,28190463.55,11.38,120,2026-07-20,Retail Trade,B003,North
L000020,C011346,Auto,936114,860536.61,9.8,48,2022-05-20,Services,B006,West
L000021,C012180,Home,4272594,3874938.15,9.77,240,2024-11-16,Real Estate,B010,North
L000022,C004373,Auto,2801556,2627542.67,10.54,60,2025-06-06,Services,B006,West
L000023,C016152,Home,12520732,12159354.73,9.77,240,2023-10-15,Real Estate,B004,South
L000024,C009261,Auto,317510,317015.21,9.23,84,2021-09-17,Services,B010,North
L000025,C005252,Personal,445356,406021.39,12.99,12,2022-11-19,Services,B001,West
L000026,C000463,Personal,873206,809484.76,15.61,60,2022-03-28,Services,B009,North
L000027,C000936,Home,12489977,11690706.91,9.27,180,2022-08-02,Real Estate,B004,South
L000028,C006288,Home,7176361,6516218.78,8.74,180,2024-11-12,Real Estate,B007,East
L000029,C008795,Personal,205136,193030.34,16.74,48,2024-01-02,Services,B001,West
L000030,C012460,Personal,341522,334972.12,11.7,36,2024-08-22,Services,B008,South
L000031,C007295,Education,502433,479933.6,11.9,120,2022-11-29,Services,B002,West
L000032,C017695,Personal,648986,585133.55,14.31,48,2022-12-27,Services,B005,South
L000033,C001197,Home,6735311,6238896.61,9.61,240,2026-07-24,Real Estate,B009,North
L000034,C018190,Agri,3487304,3166637.86,8.85,12,2023-11-11,Agriculture,B009,North
L000035,C005854,Home,17278430,17032831.13,10.34,120,2025-01-27,Real Estate,B007,East
L000036,C005250,Personal,729872,666137.07,14.35,48,2026-01-26,Services,B004,South
L000037,C002239,Home,4606871,4221641.85,9.09,180,2023-08-09,Real Estate,B007,East
L000038,C004289,Auto,2455263,2326809.69,10.4,60,2025-05-30,Services,B009,North
L000039,C012732,Auto,1025564,928181.89,10.18,60,2024-01-01,Services,B002,West
L000040,C013856,Auto,2817940,2685148.62,11.07,84,2023-10-03,Services,B004,South
L000041,C009402,Agri,1845233,1783230.39,8.52,24,2023-12-23,Agriculture,B004,South
L000042,C009982,Personal,247560,225721.03,14.76,36,2025-02-21,Services,B007,East
L000043,C015015,Home,14907165,14784635.38,9.74,180,2025-01-21,Real Estate,B002,West
L000044,C017351,Agri,1752427,1713126.7,7.78,12,2024-03-07,Agriculture,B005,South
L000045,C015565,Personal,881512,810530.5,15.37,60,2021-09-18,Services,B008,South
L000046,C007305,Home,11962862,11393061.42,8.34,360,2023-02-24,Real Estate,B005,South
L000047,C008039,MSME,36621518,33369023.86,11.94,84,2022-10-30,Retail Trade,B004,South
L000048,C017230,Personal,218116,208799.19,13.07,60,2026-06-04,Services,B007,East
L000049,C008634,Home,6082974,5512697.18,9.99,120,2022-09-20,Real Estate,B004,South
L000050,C018478,Home,5467089,5058613.1,9.18,240,2025-02-11,Real Estate,B009,North
L000051,C019602,Auto,1353412,1328392.1,9.28,60,2023-07-30,Services,B008,South
L000052,C017072,Personal,351152,337746.65,16.84,24,2023-07-17,Services,B005,South
L000053,C000185,MSME,32616572,31089413.99,9.65,120,2025-06-19,IT/ITES,B008,South
L000054,C011756,Home,5567006,5289445.75,9.52,120,2025-03-12,Real Estate,B004,South
L000055,C000255,Agri,3899433,3751494.76,9.36,24,2024-08-21,Agriculture,B007,East
L000056,C008737,Agri,4467074,4387228.75,8.53,36,2025-11-16,Agriculture,B010,North
L000057,C006677,Home,10950472,10602532.88,9.5,120,2022-04-17,Real Estate,B009,North
