product_id,type,category,balance,interest_rate,duration_years,repricing_maturity_years
A_00001,Asset,Corporate Loan,4756035.816729085,0.0679597545259111,2.3299848545285125,1.9366920974738113
A_00002,Asset,Retail Loan,337513.88023258734,0.08404460046972835,4.46470458309974,4.204030643130443
A_00003,Asset,Retail Loan,4851053.768201872,0.06849356442713105,4.329770563201687,3.621268528695033
A_00004,Asset,Retail Loan,1555999.1026497118,0.07727780074568463,3.0990257265289514,2.659725900780889
A_00005,Asset,Corporate Loan,740494.6102276071,0.06099085529881075,1.2303616213380453,1.096515498115414
A_00006,Asset,Mortgage,1038385.2216838807,0.05777243706586128,10.142344384136116,8.208098723827188
A_00007,Asset,Corporate Loan,894094.4122520931,0.0784665661176,0.6626289824631988,0.6580743402725721
A_00008,Asset,Mortgage,1557838.1574081848,0.06052699079536471,5.976721140063839,5.30751065488813
A_00009,Asset,Retail Loan,2501125.7050507874,0.09637281608315129,1.1375540844608736,0.9689185125778607
A_00010,Asset,Mortgage,1592969.8266425843,0.056401308380298394,10.200680211778108,8.53767240673014
A_00011,Asset,Government Bond (HQLA),3886907.475637517,0.03789654700855298,1.8850479889719594,1.7334524217104101
A_00012,Asset,Government Bond (HQLA),488037.8851570015,0.020904545778210763,0.47236743859637587,0.4086290418851717
A_00013,Asset,Corporate Loan,1393177.7072807848,0.06070259980080768,2.5718437728798236,2.201978952169166
A_00014,Asset,Corporate Loan,747574.9136250751,0.05223651931039313,2.5054924518850994,2.4989215156114004
A_00015,Asset,Mortgage,1033642.6235941534,0.06446384285364504,5.055221171236024,4.7588409789212465
A_00016,Asset,Mortgage,3867788.2160954312,0.050753971856328184,5.740446517340904,4.725385241716443
A_00017,Asset,Mortgage,3135325.7277964116,0.04190675050858071,8.308980248526492,7.163973392576463
A_00018,Asset,Corporate Loan,3661550.5827734172,0.0766163822772898,2.093893678388033,1.872868512037843
A_00019,Asset,Retail Loan,3580561.696753825,0.08245108790277986,4.04314019446759,3.8579378343519943
A_00020,Asset,Corporate Loan,2637527.5054408708,0.05076257380232286,1.568852545896374,1.288935184700867
A_00021,Asset,Retail Loan,3200231.535755713,0.08034282764658811,2.2574239243053067,2.2156915936718797
A_00022,Asset,Retail Loan,2081395.4690263672,0.0691519266196649,4.022204554172195,3.2796894321163834
A_00023,Asset,Retail Loan,848045.3719073219,0.09232481518257668,4.718790609370292,4.372812427128484
A_00024,Asset,Mortgage,4028176.7806506166,0.06677676995469933,6.865700588860358,6.233152940671797
A_00025,Asset,Mortgage,4485651.934621291,0.043301557735830304,8.180034749718638,6.916931309830081
A_00026,Asset,Corporate Loan,4099173.091316341,0.05020856391593572,2.6518264581408584,2.3923438085925395
A_00027,Asset,Corporate Loan,1149433.6618301147,0.06012845514210884,0.7996634183342071,0.7905328140696016
A_00028,Asset,Corporate Loan,2618013.577629662,0.06090888807137882,2.2575473972379445,2.24480674009619
A_00029,Asset,Government Bond (HQLA),1296322.3643355526,0.026017566196335395,1.0447721611955323,0.895336412737776
A_00030,Asset,Retail Loan,3067343.4532004893,0.062059150049999574,3.010716092915446,2.576357953154588
A_00031,Asset,Government Bond (HQLA),1235831.3588015134,0.02978905520555126,0.3753002569733239,0.3742231793213755
A_00032,Asset,Retail Loan,3377070.9596590986,0.06950550175969598,4.04647846131487,3.8265251230189463
A_00033,Asset,Corporate Loan,3179913.8614382185,0.06607324052224275,2.083824276902237,1.704689024480849
A_00034,Asset,Mortgage,1637861.3216100924,0.041223254246642915,6.8651851039985425,6.303465969525589
A_00035,Asset,Mortgage,132109.75319288793,0.04679487325593814,10.12093058299281,9.40269427154821
A_00036,Asset,Retail Loan,3470141.8036072063,0.09746919954946939,2.5469413852021496,2.1076046649572207
A_00037,Asset,Corporate Loan,611693.9301409159,0.07632018060142944,2.811734045696407,2.394439887846936
A_00038,Asset,Mortgage,4095249.8909960184,0.0558895173506802,10.552008115994624,8.952011960086391
A_00039,Asset,Retail Loan,4491218.001868967,0.08532405829093072,4.601672228653322,3.9933585777536464
A_00040,Asset,Corporate Loan,3643480.610407685,0.07661259272795352,2.742775649881443,2.622025251328412
A_00041,Asset,Corporate Loan,466492.82672549173,0.07695662565581238,0.9040717852365344,0.8329085087063792
A_00042,Asset,Retail Loan,552284.1371868589,0.06020246335384875,3.6540070764322232,3.040724412711142
A_00043,Asset,Corporate Loan,3474881.2285788315,0.0567280792838168,2.1299031487565014,2.007297072210615
A_00044,Asset,Retail Loan,1660728.5058883752,0.08598531596188859,3.9859656204720966,3.8657675600436483
A_00045,Asset,Mortgage,2863127.5865105847,0.051031474091783005,5.936747678280925,5.064286050746558
A_00046,Asset,Retail Loan,4866402.246024606,0.09568186220708454,2.5723908986670416,2.3826197703961496
A_00047,Asset,Mortgage,2538053.610870701,0.05477553081456592,10.76903884626359,9.035746941022415
A_00048,Asset,Mortgage,1439823.1940822362,0.05936416887721504,5.243159664314538,4.380251645528907
A_00049,Asset,Government Bond (HQLA),4771946.4561628075,0.027403174005108888,1.8382423414188522,1.4762764745267696
A_00050,Asset,Government Bond (HQLA),2169511.534170706,0.03927239954178506,1.9366441561829721,1.8797104803663143
A_00051,Asset,Retail Loan,1956233.75657953,0.07267688020625111,4.404546686067428,3.672945091999681
A_00052,Asset,Corporate Loan,4683966.132095866,0.06710183510268095,2.2400744916874324,1.8355961103274503
A_00053,Asset,Corporate Loan,4950766.558016103,0.06554988957091211,0.85021003809131,0.8293583090538794
A_00054,Asset,Mortgage,3500227.9179265765,0.05078473453659266,12.024840839871093,10.325951711729825
A_00055,Asset,Mortgage,4060061.303661945,0.06739721657669415,13.670723185801037,12.3346626262391
A_00056,Asset,Corporate Loan,4001561.135885537,0.0710590063177311,2.124909826944413,2.03812539425455
A_00057,Asset,Mortgage,1723076.0264151022,0.04281945819522607,8.75582952639944,8.0173280877325
A_00058,Asset,Retail Loan,2354710.1897556777,0.07146165008513138,3.1705785388303065,2.9111194822616935
A_00059,Asset,Retail Loan,234873.53430861136,0.07440762565645051,4.290402242638633,3.541349935797399
A_00060,Asset,Corporate Loan,3861468.0878381236,0.06868671427457002,1.0395525687421079,0.8493866902876661
A_00061,Asset,Retail Loan,2680205.4262623326,0.08549719605992827,3.162540486440426,2.9892910371026296
A_00062,Asset,Government Bond (HQLA),2605686.7240909166,0.03590372389537408,0.7136172985883673,0.6095479547739433
A_00063,Asset,Corporate Loan,438359.0876442165,0.07887945244033776,0.5633768585386438,0.5448958576498998
A_00064,Asset,Mortgage,2074317.0748506358,0.044693111280132584,6.7329432007084575,5.723328804511345
A_00065,Asset,Corporate Loan,3587249.8173653088,0.058398016908378286,2.150493441794328,2.1310810582081228
A_00066,Asset,Mortgage,2794052.5599314333,0.0525880018728337,11.117207462343522,9.444581330902022
A_00067,Asset,Corporate Loan,3801338.246798627,0.05348217921520749,0.5359837215743897,0.4337183107141265
A_00068,Asset,Retail Loan,4284529.890854485,0.078966953163493,3.8146314375200947,3.1263454029926163
A_00069,Asset,Corporate Loan,2393685.2653638003,0.0630155494771392,0.933004674775038,0.8207650958425773
A_00070,Asset,Corporate Loan,3193713.571794837,0.061238378438794136,0.6132600244301113,0.5673709929842371
A_00071,Asset,Corporate Loan,4289624.713882195,0.054888032812442894,2.146734079047363,1.7476857302299278
A_00072,Asset,Corporate Loan,181230.98718102797,0.07820690724274873,1.9644389531836581,1.7976479408610702
A_00073,Asset,Corporate Loan,3234276.681289648,0.06636850367947805,1.6456322262287917,1.6263667468196286
A_00074,Asset,Corporate Loan,4807893.290928375,0.055873734043678895,2.7633766048901593,2.2490355631367636
A_00075,Asset,Retail Loan,140198.03697517116,0.08732027093665427,1.3777718430237136,1.1218338174972544
A_00076,Asset,Corporate Loan,4232132.789298801,0.07443405447766807,0.5581798393395647,0.47800900205167296
A_00077,Asset,Retail Loan,3498848.9685525456,0.09509888054108212,3.515771387119536,3.329485458356787
A_00078,Asset,Mortgage,1446071.1342279671,0.06251844254922576,6.774395437797228,6.512679865587476
A_00079,Asset,Government Bond (HQLA),2092457.5007115612,0.03552825921483994,0.806834363006288,0.7004618918670967
A_00080,Asset,Government Bond (HQLA),4299143.121622909,0.03501742135582995,0.9150886520125348,0.8701656459163909
A_00081,Asset,Retail Loan,4517636.8880638555,0.09305829864430967,3.0210094897914286,2.610182168216631
A_00082,Asset,Mortgage,1976548.3097341075,0.06716145929257791,5.108376514802984,4.1799665550041265
A_00083,Asset,Corporate Loan,4752806.736901484,0.06720313664369859,2.8765178673438903,2.664712499886948
A_00084,Asset,Corporate Loan,1501393.3199054194,0.07017555368231115,1.32166136342479,1.2562059600163697
A_00085,Asset,Mortgage,3958609.806833042,0.054832609141077446,5.912061030486903,4.797707004801033
A_00086,Asset,Corporate Loan,2235575.9817982162,0.06052745037656236,2.7192604568957495,2.2390755072322706
A_00087,Asset,Retail Loan,3819477.6270014876,0.06404490704491161,3.4728722532650442,2.836716241265539
A_00088,Asset,Mortgage,410176.88150275795,0.06118726681469489,13.218600592903563,10.78994388232785
A_00089,Asset,Retail Loan,4933865.913580818,0.07482568588267563,2.4970831830244813,2.403592172533242
A_00090,Asset,Government Bond (HQLA),4930705.265923211,0.027525191710618315,1.5314185519919892,1.2507097509249852
A_00091,Asset,Mortgage,2814101.036192235,0.06719063155284208,9.242220092469763,7.599318395016203
A_00092,Asset,Corporate Loan,106200.54159872439,0.051689098270455126,1.6716516049853156,1.3770457160743592
A_00093,Asset,Retail Loan,3263590.9954745146,0.08333475060388638,3.984179517061693,3.954037245551618
A_00094,Asset,Corporate Loan,1464274.8270952106,0.05670787515558358,2.671497820473651,2.6518476393282584
A_00095,Asset,Retail Loan,4850900.192202813,0.09564572454792285,1.1726396478023045,1.0618723667826124
A_00096,Asset,Government Bond (HQLA),415292.99544022436,0.03938605071238198,1.1523231403625096,1.0424140623922087
A_00097,Asset,Corporate Loan,3493956.010473855,0.0688267424025219,1.636352661919433,1.500310985478144
A_00098,Asset,Government Bond (HQLA),274959.5826902165,0.03900822968153118,0.6338300602252376,0.6199192377321755
A_00099,Asset,Corporate Loan,3119656.3591176067,0.055643634791712845,1.1934529574528316,1.065442812510622
A_00100,Asset,Corporate Loan,2939097.753661817,0.079231844229985,0.694336592412462,0.6924217154744746
A_00101,Asset,Mortgage,2703677.013403396,0.06441385059120847,8.095276162863279,7.584838518119591
A_00102,Asset,Retail Loan,4559089.56324452,0.09799199653167696,4.290148971692676,4.054808137884068
A_00103,Asset,Corporate Loan,2120303.0296385633,0.07598191668501225,2.8318212083850334,2.2910672045123617
A_00104,Asset,Retail Loan,1913493.6660463456,0.09949104517259778,4.242213323127332,3.5213907663944215
A_00105,Asset,Corporate Loan,1935409.7403235566,0.07526356769407126,2.9247859945365082,2.83021520650062
A_00106,Asset,Corporate Loan,2103356.5365714426,0.051691264899527814,1.1835176798267657,1.1514969879493462
A_00107,Asset,Mortgage,4998602.482766346,0.05666295116807883,14.966368370739055,14.274884482202038
A_00108,Asset,Government Bond (HQLA),4255754.583853187,0.02901088270620187,0.5699613933120755,0.4706922906934842
A_00109,Asset,Government Bond (HQLA),3050564.4405318564,0.03343401368811713,0.5344213304565791,0.49360524769692193
A_00110,Asset,Corporate Loan,612110.0813881636,0.0656092310271138,2.178932988981999,2.0797123955356605
A_00111,Asset,Corporate Loan,4268298.426576774,0.06682813914606159,1.879767096936214,1.8333945970865213
A_00112,Asset,Corporate Loan,713375.3808306716,0.07265411767020857,0.5719566907833474,0.5285233922773641
A_00113,Asset,Mortgage,1104172.599469108,0.040436339970036456,6.363714755867697,5.537179648934393
A_00114,Asset,Corporate Loan,1991608.023243675,0.07712476083481246,1.5936873050593228,1.385951907389966
A_00115,Asset,Corporate Loan,3929082.413068658,0.0686626010068362,1.4913569558031754,1.4503039877368769
A_00116,Asset,Government Bond (HQLA),778013.7305987378,0.029842325861590767,1.8605164878068394,1.5845067787082323
A_00117,Asset,Corporate Loan,4901161.247663111,0.05986254830862525,1.731545234982174,1.6045886342108924
A_00118,Asset,Retail Loan,425523.4741378864,0.0651218335583109,1.515518887642597,1.258457390334411
A_00119,Asset,Retail Loan,3222329.9867759123,0.07382669133295452,1.7275203375965793,1.6918603134039703
A_00120,Asset,Corporate Loan,3354410.8056790847,0.055768670564260124,0.9307996780040746,0.7522478413755218
A_00121,Asset,Retail Loan,1429022.1782081951,0.06354810135028223,1.7080419371069873,1.4076437750774415
A_00122,Asset,Corporate Loan,1071351.906108673,0.06510251812564571,1.4106746526201888,1.3233242191056518
A_00123,Asset,Retail Loan,4007081.474599761,0.06327036127795488,3.511601557963631,3.422813257854322
A_00124,Asset,Government Bond (HQLA),352335.90128157556,0.036124025595861226,0.6260675314796871,0.5945462446366
A_00125,Asset,Retail Loan,1086279.1505167158,0.07938091940764086,2.481888411165528,2.292398599454189
A_00126,Asset,Corporate Loan,2339546.8448590823,0.05110049608671794,2.3686773453343912,2.014530210506137
A_00127,Asset,Mortgage,4481273.846551636,0.05596340455795948,10.116774421156661,8.310266549522561
A_00128,Asset,Corporate Loan,2686455.4689523648,0.05807729692848143,1.106176259086824,0.9684095641006142
A_00129,Asset,Retail Loan,1644291.8696367326,0.07309989408711659,1.8457920279861786,1.5208448200222635
A_00130,Asset,Mortgage,2988282.645092541,0.06367513715822015,11.791023191444896,10.608247258589378
A_00131,Asset,Retail Loan,2708677.3820018116,0.0898175789673732,3.3473644720835165,2.9668759434837972
A_00132,Asset,Retail Loan,1454690.7337036862,0.08583668965326405,2.4523291855945404,2.2418106074843815
A_00133,Asset,Corporate Loan,4933250.48152525,0.05711680375207984,2.014437048392218,1.6525565154584758
A_00134,Asset,Retail Loan,1267490.7555033152,0.06746268096205223,1.6427254930382227,1.4078470147416613
A_00135,Asset,Retail Loan,4488988.851900805,0.0809804555828102,1.3209349826465688,1.165169491224814
A_00136,Asset,Government Bond (HQLA),604592.5657318591,0.03938940866550738,0.855925638186909,0.8329024583667517
