ecl_stage,sector,EAD,approx_ECL
Stage 1,Agriculture,3370939577.98,25682963.309979
Stage 1,IT/ITES,9030429049.54,51487207.867681004
Stage 1,Manufacturing,10613265118.54,57986753.12247001
Stage 1,Real Estate,46399434733.15,284926080.261312
Stage 1,Retail Trade,9106108260.42,62143545.443795
Stage 1,Services,17853860396.52,123368434.4989075
Stage 2,Agriculture,1067876903.83,22095791.277936
Stage 2,IT/ITES,2662956020.97,56823858.569073
Stage 2,Manufacturing,3378323767.61,66140836.600053005
Stage 2,Real Estate,18719489702.71,483181163.2247435
Stage 2,Retail Trade,3530580287.69,88342451.147256
Stage 2,Services,6557544857.44,152931627.3202275
Stage 3,Agriculture,900650790.41,56770849.4310595
Stage 3,IT/ITES,860812704.62,54512786.3308305
Stage 3,Manufacturing,766136610.76,47402177.451639496
Stage 3,Real Estate,1186048298.69,73483624.8900605
Stage 3,Retail Trade,673199627.96,41333362.0258715
Stage 3,Services,1558205197.69,102794189.8819875
